5-Oct-13,,"Coordinates of telomeres (in concentric circles, Center of circle is in middle of spread)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,17,,,18,,,19,,,20,
CMS #,,Spread #,50-1,,50-13,,,50-23,,,51-7,,,51-9,,,51-11,,,51-13,,,51-18,,,51-26,,,52-8,,,52-29,,,53-8,,,53-35,,,54-8,,,54-9,,,54-13,,,54-16,,,54-19,,,54-22,,,54-23,
,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y,,X,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Ap,,2.1,-1.8,,-4.8,-0.2,,-3.2,-3.6,,-5.1,0.3,,4.9,-0.3,,-1.2,-3.5,,-2.8,3.8,,-3.5,-2.2,,4.8,0.8,,3.4,1.9,,-2.7,3.4,,1.5,-1.4,,4.0,-1.3,,-2.6,2.9,,-3.2,-2.9,,3.6,3.5,,-4.8,-0.9,,4.2,1.3,,0.3,-1.8,,3.6,-3.0
1Aq,,3.7,-3.2,,-4.3,1.7,,-4.0,-2.3,,-4.1,-1.1,,0.3,2.7,,-4.8,1.8,,-3.7,3.4,,-2.2,-1.7,,3.2,-2.3,,2.4,3.3,,-3.6,3.3,,4.8,0.1,,1.9,-3.8,,-0.5,4.4,,4.8,-0.6,,2.6,3.9,,-4.3,1.0,,-3.3,-1.1,,-2.6,-3.8,,3.9,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Bp,,2.1,1.2,,-1.7,4.7,,-2.5,3.9, ,4.7,-1.8,,-4.3,-0.9,,4.4,2.2,,4.3,1.4,,-0.8,2.0,,-2.5,-2.3,,-4.0,1.4,,-2.6,-2.6,,-3.7,-1.1,,-4.5,1.3,,1.3,-3.4,,4.3,1.8,,-0.3,-3.5,,4.3,-1.8,,-3.9,1.7,,1.6,3.8,,3.8,2.9
1Bq,,0.1,4.4,,-0.1,4.8,,0.0,-3.3,,4.2,2.2,,2.1,1.9,,4.8,-0.4,,0.8,4.4,,-4.8,0.9,,-3.6,-1.4,,-1.4,2.8,,-4.3,-1.6,,-1.3,-2.0,,-3.0,0.8,,-4.8,-0.3,,2.4,4.2,,-4.8,0.9,,4.3,1.0,,-5.0,1.0,,2.6,0.2,,2.6,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Ap,,-2.5,0.0,,0.9,-2.0,,1.5,0.8,,-1.5,0.3,,0.2,-0.8,,0.6,0.2,,3.9,-2.9,,2.6,1.8,,-1.3,2.5,,-2.0,-1.3,,2.9,-1.2,,-1.0,2.0,,0.5,1.8,,-1.0,-0.1,,0.6,-1.7,,0.3,0.4,,-1.3,0.1,,3.3,-1.0,,0.8,2.0,,-1.8,0.7
2Aq,,-4.7,-1.9,,-4.3,0.3,,2.9,-3.7,,-3.4,2.3,,4.4,-1.9,,1.0,3.4,,0.9,0.8,,-1.3,3.7,,-4.7,-1.3,,2.0,3.1,,1.2,3.9,,-4.7,1.3,,3.5,-3.3,,2.0,3.8,,-4.6,0.2,,0.9,4.6,,-1.1,-1.3,,-0.2,4.0,,-4.8,-0.4,,-0.2,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
